datetime,UL,DL
2025/Sep/24 16:59:05,4.6,47.0
2025/Sep/24 16:59:07,5.65,89.9
2025/Sep/24 16:59:10,5.08,40.5
2025/Sep/24 16:59:12,6.13,56.6
2025/Sep/24 16:59:15,4.62,75.1
2025/Sep/24 16:59:17,7.12,45.1
2025/Sep/24 16:59:20,5.08,51.8
2025/Sep/24 16:59:22,6.63,50.5
2025/Sep/24 16:59:25,5.64,81.7
2025/Sep/24 16:59:28,5.64,65.1
2025/Sep/24 16:59:30,6.14,85.7
2025/Sep/24 16:59:33,4.65,85.4
2025/Sep/24 16:59:36,5.97,56.3
2025/Sep/24 16:59:38,5.12,58.5
2025/Sep/24 16:59:41,8.72,59.0
2025/Sep/24 16:59:43,5.16,101.0
2025/Sep/24 16:59:46,5.1,67.2
2025/Sep/24 16:59:48,5.52,124.0
2025/Sep/24 16:59:51,7.15,107.0
2025/Sep/24 16:59:54,4.12,33.4
2025/Sep/24 16:59:56,6.12,36.9
2025/Sep/24 16:59:59,5.06,41.6
2025/Sep/24 17:00:01,6.77,60.8
2025/Sep/24 17:00:05,5.1,117.0
2025/Sep/24 17:00:07,7.12,109.0
2025/Sep/24 17:00:10,5.13,103.0
2025/Sep/24 17:00:12,5.57,83.2
2025/Sep/24 17:00:15,4.66,48.0
2025/Sep/24 17:00:17,3.34,85.6
2025/Sep/24 17:00:20,5.09,73.3
2025/Sep/24 17:00:23,5.14,53.5
2025/Sep/24 17:00:25,6.11,25.7
2025/Sep/24 17:00:28,4.66,64.6
2025/Sep/24 17:00:30,6.11,23.3
2025/Sep/24 17:00:33,4.09,28.6
2025/Sep/24 17:00:35,6.08,64.3
2025/Sep/24 17:00:38,4.64,38.8
2025/Sep/24 17:00:40,7.1,46.8
2025/Sep/24 17:00:43,5.65,42.8
2025/Sep/24 17:00:46,6.03,69.3
2025/Sep/24 17:00:48,6.26,88.8
2025/Sep/24 17:00:51,6.14,25.6
2025/Sep/24 17:00:53,3.84,30.2
2025/Sep/24 17:00:56,6.13,58.1
2025/Sep/24 17:00:58,4.59,56.5
2025/Sep/24 17:01:01,5.64,67.9
2025/Sep/24 17:01:03,6.67,57.9
2025/Sep/24 17:01:06,5.09,57.0
2025/Sep/24 17:01:08,5.09,30.8
2025/Sep/24 17:01:11,4.1,37.5
2025/Sep/24 17:01:13,6.13,47.0
2025/Sep/24 17:01:16,5.1,34.3
2025/Sep/24 17:01:19,5.12,32.2
2025/Sep/24 17:01:21,6.11,36.6
2025/Sep/24 17:01:24,5.57,154.0
2025/Sep/24 17:01:26,4.94,56.0
2025/Sep/24 17:01:29,5.1,104.0
2025/Sep/24 17:01:31,6.62,79.2
2025/Sep/24 17:01:34,5.13,41.4
2025/Sep/24 17:01:36,6.18,92.9
2025/Sep/24 17:01:39,5.09,89.9
2025/Sep/24 17:01:41,6.12,90.9
