Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:48:02,34.236,1,1
2025/Sep/24 16:48:03,36.741,1,1
2025/Sep/24 16:48:04,32.125,1,1
2025/Sep/24 16:48:05,32.919,1,1
2025/Sep/24 16:48:06,38.123,1,1
2025/Sep/24 16:48:07,37.203,1,1
2025/Sep/24 16:48:09,37.257,1,1
2025/Sep/24 16:48:10,37.355,1,1
2025/Sep/24 16:48:11,34.120,1,1
2025/Sep/24 16:48:12,33.552,1,1
2025/Sep/24 16:48:13,29.457,1,1
2025/Sep/24 16:48:14,29.369,1,1
2025/Sep/24 16:48:15,29.394,1,1
2025/Sep/24 16:48:17,28.246,1,1
2025/Sep/24 16:48:18,36.532,1,1
2025/Sep/24 16:48:19,28.365,1,1
2025/Sep/24 16:48:20,37.325,1,1
2025/Sep/24 16:48:21,38.007,1,1
2025/Sep/24 16:48:22,33.202,1,1
2025/Sep/24 16:48:23,32.743,1,1
2025/Sep/24 16:48:24,33.511,1,1
2025/Sep/24 16:48:26,43.059,1,1
2025/Sep/24 16:48:27,32.708,1,1
2025/Sep/24 16:48:28,29.222,1,1
2025/Sep/24 16:48:29,42.145,1,1
2025/Sep/24 16:48:30,32.923,1,1
2025/Sep/24 16:48:31,45.383,1,1
2025/Sep/24 16:48:32,33.166,1,1
2025/Sep/24 16:48:34,28.984,1,1
2025/Sep/24 16:48:35,28.004,1,1
2025/Sep/24 16:48:36,47.222,1,1
2025/Sep/24 16:48:37,39.234,1,1
2025/Sep/24 16:48:38,33.384,1,1
2025/Sep/24 16:48:39,30.672,1,1
2025/Sep/24 16:48:40,36.094,1,1
2025/Sep/24 16:48:42,32.316,1,1
2025/Sep/24 16:48:43,34.491,1,1
2025/Sep/24 16:48:44,30.562,1,1
2025/Sep/24 16:48:45,32.786,1,1
2025/Sep/24 16:48:46,31.984,1,1
2025/Sep/24 16:48:47,32.491,1,1
2025/Sep/24 16:48:48,29.973,1,1
2025/Sep/24 16:48:50,34.447,1,1
2025/Sep/24 16:48:51,38.337,1,1
2025/Sep/24 16:48:52,34.711,1,1
2025/Sep/24 16:48:53,44.317,1,1
2025/Sep/24 16:48:54,35.790,1,1
2025/Sep/24 16:48:55,38.467,1,1
2025/Sep/24 16:48:56,34.419,1,1
2025/Sep/24 16:48:57,87.645,1,1
2025/Sep/24 16:48:59,35.691,1,1
2025/Sep/24 16:49:00,33.189,1,1
2025/Sep/24 16:49:01,40.967,1,1
2025/Sep/24 16:49:02,34.567,1,1
2025/Sep/24 16:49:03,36.947,1,1
2025/Sep/24 16:49:04,33.202,1,1
2025/Sep/24 16:49:05,34.308,1,1
2025/Sep/24 16:49:07,37.851,1,1
2025/Sep/24 16:49:08,36.517,1,1
2025/Sep/24 16:49:09,46.422,1,1
2025/Sep/24 16:49:10,33.507,1,1
2025/Sep/24 16:49:11,42.146,1,1
2025/Sep/24 16:49:12,32.945,1,1
2025/Sep/24 16:49:13,34.599,1,1
2025/Sep/24 16:49:15,45.770,1,1
2025/Sep/24 16:49:16,33.191,1,1
2025/Sep/24 16:49:17,47.016,1,1
2025/Sep/24 16:49:18,42.384,1,1
2025/Sep/24 16:49:19,39.976,1,1
2025/Sep/24 16:49:20,33.195,1,1
2025/Sep/24 16:49:21,35.866,1,1
2025/Sep/24 16:49:22,33.350,1,1
2025/Sep/24 16:49:24,33.893,1,1
2025/Sep/24 16:49:25,44.711,1,1
2025/Sep/24 16:49:26,41.197,1,1
2025/Sep/24 16:49:27,41.615,1,1
2025/Sep/24 16:49:28,48.638,1,1
2025/Sep/24 16:49:29,41.704,1,1
2025/Sep/24 16:49:30,51.347,1,1
2025/Sep/24 16:49:32,38.253,1,1
2025/Sep/24 16:49:33,34.862,1,1
2025/Sep/24 16:49:34,41.880,1,1
2025/Sep/24 16:49:35,41.555,1,1
2025/Sep/24 16:49:36,45.589,1,1
