Date,Time,UL,DL
2025/Sep/04,23:07:58,4.34,17.8
2025/Sep/04,23:08:00,5.49,32.4
2025/Sep/04,23:08:01,14.2,19.3
2025/Sep/04,23:08:05,7.86,23.8
2025/Sep/04,23:08:08,21.3,10.1
2025/Sep/04,23:08:11,6.06,18.1
2025/Sep/04,23:08:13,5.44,19.3
2025/Sep/04,23:08:16,6.56,9.05
2025/Sep/04,23:08:19,5.76,44.8
2025/Sep/04,23:08:23,6.3,18.6
2025/Sep/04,23:08:26,4.96,17.7
2025/Sep/04,23:08:29,5.38,5.69
2025/Sep/04,23:08:32,14.9,9.75
2025/Sep/04,23:08:33,5.93,12.7
2025/Sep/04,23:08:37,8.13,45.9
2025/Sep/04,23:08:40,6.05,31.5
2025/Sep/04,23:08:41,10.2,12.9
2025/Sep/04,23:08:45,32.2,10.1
2025/Sep/04,23:08:48,5.81,8.69
2025/Sep/04,23:08:51,5.88,9.28
2025/Sep/04,23:08:54,6.41,11.4
2025/Sep/04,23:08:55,11.5,8.35
2025/Sep/04,23:08:59,6.19,9.05
2025/Sep/04,23:09:02,5.42,11.4
2025/Sep/04,23:09:06,4.14,20.3
2025/Sep/04,23:09:09,2.67,6.25
2025/Sep/04,23:09:15,3.63,10.7
2025/Sep/04,23:09:18,5.36,3.84
2025/Sep/04,23:09:21,1.56,3.52
2025/Sep/04,23:09:25,2.44,5.14
2025/Sep/04,23:09:33,1.66,3.64
2025/Sep/04,23:09:36,1.71,3.11
2025/Sep/04,23:09:39,1.07,5.08
2025/Sep/04,23:09:43,5.66,7.74
2025/Sep/04,23:09:46,11.3,9.03
2025/Sep/04,23:09:47,4.32,17.4
2025/Sep/04,23:09:51,4.84,6.47
2025/Sep/04,23:09:52,3.13,6.28
2025/Sep/04,23:09:56,1.73,1.7
2025/Sep/04,23:10:02,2.16,4.06
2025/Sep/04,23:10:06,4.14,10.7
2025/Sep/04,23:10:07,11.7,8.42
2025/Sep/04,23:10:11,1.61,3.03
2025/Sep/04,23:10:14,2.39,5.23
2025/Sep/04,23:10:17,2.2,8.08
2025/Sep/04,23:10:21,2.48,5.29
2025/Sep/04,23:10:22,2.51,6.4
2025/Sep/04,23:10:27,3.46,16.4
2025/Sep/04,23:10:30,8.26,13.3
2025/Sep/04,23:10:33,20.2,9.4
2025/Sep/04,23:10:35,4.26,19.6
2025/Sep/04,23:10:39,3.46,23.0
2025/Sep/04,23:10:40,10.6,8.37
2025/Sep/04,23:10:44,4.26,6.35
2025/Sep/04,23:10:48,2.34,4.23
2025/Sep/04,23:10:51,1.44,2.35
2025/Sep/04,23:10:54,1.68,7.33
2025/Sep/04,23:10:58,2.51,4.92
2025/Sep/04,23:11:01,3.22,6.43
2025/Sep/04,23:11:05,1.65,3.49
2025/Sep/04,23:11:08,6.3,7.06
2025/Sep/04,23:11:12,5.61,7.55
2025/Sep/04,23:11:17,5.3,11.0
2025/Sep/04,23:11:21,6.81,6.82
2025/Sep/04,23:11:22,3.53,8.98
2025/Sep/04,23:11:27,3.08,6.86
2025/Sep/04,23:11:30,3.46,4.24
2025/Sep/04,23:11:31,4.38,8.45
2025/Sep/04,23:11:35,4.74,6.87
2025/Sep/04,23:11:38,5.53,5.01
2025/Sep/04,23:11:41,2.45,6.14
2025/Sep/04,23:11:42,1.41,2.53
2025/Sep/04,23:11:47,3.64,5.34
2025/Sep/04,23:11:50,3.63,5.47
2025/Sep/04,23:11:53,7.83,8.48
2025/Sep/04,23:11:57,14.3,8.55
2025/Sep/04,23:12:00,3.33,12.1
2025/Sep/04,23:12:03,2.42,6.19
2025/Sep/04,23:12:07,3.19,6.74
2025/Sep/04,23:12:08,3.01,5.23
2025/Sep/04,23:12:12,2.35,9.77
2025/Sep/04,23:12:16,2.95,6.26
2025/Sep/04,23:12:19,23.1,7.0
2025/Sep/04,23:12:22,2.48,24.6
2025/Sep/04,23:12:23,7.13,7.33
2025/Sep/04,23:12:29,3.93,12.2
2025/Sep/04,23:12:32,3.97,12.8
2025/Sep/04,23:12:35,2.25,21.3
2025/Sep/04,23:12:39,2.23,9.58
2025/Sep/04,23:12:42,5.97,8.35
2025/Sep/04,23:12:45,3.16,11.6
2025/Sep/04,23:12:48,3.49,10.1
2025/Sep/04,23:12:49,3.3,6.41
2025/Sep/04,23:12:54,2.54,6.87
2025/Sep/04,23:12:57,5.04,5.39
2025/Sep/04,23:13:00,2.4,3.81
2025/Sep/04,23:13:01,5.07,11.8
